24	27	51	53	93	143	164	185	211	223	275	287
295	305	404	421	431	443	497	512	517	543	575	589
600	614	615	683	721	723	739	754	772	773	801	820
843	861	871	889	895	966	1016	1034	1065	1088	1103	1119
1123	1169	1201	1231	1250	1270	1293	1305	1322	1327	1351	1353
1443	1454	1470	1473	1479	1488	1519	1586	1631	1653	1720	1743
1757	1783	1792	1793	1849	1881	1885	1888	1919	1938	1976	2189
2205	2218	2219	2310	2314	2352	2374	2444	2446	2456	2482	2488
2497	2518	2526	2539	2545	2559	2566	2583	2595	2653	2661	2730
2778	2785	2788	2804	2826	2835	2867	2963	2983	2989	3033	3049
3061	3109	3110	3144	3162	3180	3201	3224	3254	3267	3295	3366
3449	3470	3487	3500	3514	3518	3553	3580	3648	3655	3702	3729
3730	3746	3749	3762	3773	3808	3835	3851	3888	3911	3997	4054
4083	4113	4116	4205	4213	4224	4257	4266	4268	4282	4290	4291
4293	4304	4310	4355	4359	4439	4501	4512	4519	4537	4559	4573
4802	4815	4831	4851	4879	4885	4967	5011	5022	5032	5039	5048
5060	5074	5136	5142	5167	5190	5208	5215	5255	5277	5278	5304
5311	5321	5326	5329	5366	5412	5442	5451	5472	5473	5482	5516
5546	5594	5613	5644	5703	5704	5719	5737	5757	5845	5846	5852
5856	5857	5895	5897	5940	5984	6065	6088	6103	6104	6141	6142
6189	6195	6263	6274	6310	6317	6347	6397	6399	6477	6496	6546
6561	6609	6612	6617	6622	6646	6660	6666	6692	6734	6738	6740
6753	6771	6799	6816	6850	6885	6927	6971	7011	7090	7120	7122
7163	7199	7200	7208	7225	7253	7261	7280	7284	7291	7294	7301
7321	7327	7359	7367	7385	7387	7473	7516	7583	7625	7639	7641
7663	7672	7684	7695	7723	7729	7758	7765	7769	7827	7863	7872
7934	7939	7952	7961	7967	7995	8046	8191	8204	8234	8257	8281
8308	8315	8327	8419	8426	8487	8504	8548	8556	8628	8654	8697
8728	8762	8836	8839	8854	8926	8929	8946	8954	9020	9025	9042
9069	9080	9121	9154	9160	9209	9221	9233	9242	9273	9316	9336
9346	9366	9395	9405	9416	9419	9420	9427	9454	9457	9470	9582
9597	9602	9633	9648	9706	9742	9748	9792	9796	9805	9808	9810
9835	9837	9854	9881	9907	9955	9987	9988	10000	10114	10124	10161
10178	10179	10186	10226	10238	10266	10280	10298	10358	10364	10431	10444
10482	10503	10511	10532	10546	10548	10565	10593	10628	10631	10713	10752
10766	10796	10831	10840	10935	11101	11126	11127	11134	11138	11143	11169
11189	11219	11226	11278	11285	11364	11430	11441	11442	11502	11504	11506
11531	11560	11575	11580	11609	11625	11660	11664	11665	11728	11754	11805
11808	11809	11845	11881	11913	11953	12033	12066	12074	12076	12104	12107
12108	12183	12198	12199	12298	12330	12357	12374	12383	12388	12391	12434
12481	12518	12519	12521	12522	12580	12583	12592	12632	12640	12666	12672
12693	12706	12711	12813	12830	12853	12865	12889	12894	12921	12999	13027
13109	13114	13147	13152	13159	13185	13197	13230	13235	13315	13392	13419
13445	13473	13490	13530	13571	13582	13646	13672	13694	13698	13731	13783
13796	13807	13842	13869	13881	13887	13921	13931	13956	13985	14013	14016
14064	14067	14084	14142	14149	14236	14239	14288	14326	14335	14343	14373
14377	14379	14419	14473	14633	14642	14688	14716	14733	14762	14766	14767
14770	14779	14788	14820	14865	14892	14937	14946	14974	14998	15006	15010
15017	15025	15026	15040	15097	15163	15191	15218	15236	15255	15307	15353
15384	15415	15461	15463	15477	15491	15547	15575	15593	15602	15617	15629
15646	15680	15718	15741	15772	15782	15834	15847	15848	15853	15876	15912
15914	15917	15925	15930	15936	15950	15959	16017	16035	16081	16084	16098
16105	16117	16122	16124	16131	16242	16259	16343	16394	16446	16454	16469
16483	16488	16505	16539	16601	16620	16623	16646	16654	16675	16694	16702
16715	16773	16775	16786	16795	16808	16887	16900	16942	17038	17048	17088
17100	17212	17228	17240	17319	17358	17370	17390	17407	17422	17427	17433
17437	17456	17490	17505	17513	17546	17560	17564	17568	17592	17606	17627
17642	17650	17698	17705	17716	17730	17742	17761	17772	17806	17844	17891
17911	17936	17977	17995	18006	18029	18056	18117	18121	18242	18267	18269
18292	18323	18328	18475	18481	18506	18529	18555	18631	18674	18706	18710
18750	18775	18784	18805	18812	18842	18875	18897	18899	18995	19032	19059
19098	19121	19133	19143	19164	19188	19204	19328	19332	19335	19351	19377
19379	19386	19387	19392	19401	19468	19507	19563	19570	19573	19580	19586
19599	19646	19651	19796	19863	19868	19877	19892	19894	19937	19985	19994
20008	20018	20058	20059	20117	20178	20181	20190	20201	20202	20208	20211
20247	20252	20253	20261	20290	20307	20312	20365	20383	20391	20394	20400
20410	20421	20436	20437	20473	20504	20507	20532	20541	20587	20602	20617
20647	20652	20656	20667	20713	20762	20769	20771	20774	20891	20909	21014
21019	21071	21076	21104	21105	21122	21166	21183	21193	21203	21279	21287
21292	21293	21353	21359	21399	21447	21470	21547	21563	21581	21599	21616
21628	21643	21654	21690	21692	21701	21730	21743	21769	21806	21821	21831
21869	21879	21899	21927	21928	21941	21943	21950	21959	22008	22036	22062
22113	22124	22176	22259	22263	22269	22289	22290	22357	22378	22379	22389
22391	22428	22451	22486	22490	22511	22548	22570	22631	22637	22667	22673
22686	22747	22777	22780	22809	22875	22982	22986	23002	23015	23034	23035
23137	23145	23163	23193	23246	23268	23349	23358	23374	23393	23398	23449
23468	23565	23689	23703	23743	23759	23802	23811	23838	23849	23896	23969
24025	24028	24073	24130	24142	24194	24211	24217	24232	24328	24356	24366
24393	24455	24466	24540	24605	24614	24625	24678	24724	24786	24789	24804
24854	24863	24873	24892	24960	24964	24971	24981	25081	25127	25136	25139
25142	25269	25299	25337	25354	25367	25391	25422	25451	25478	25492	25514
25521	25533	25541	25545	25591	25617	25706	25720	25730	25744	25762	25766
25790	25792	25826	25839	25875	25879	25924	25931	25946	25979	26017	26043
26142	26167	26174	26208	26228	26267	26295	26303	26305	26306	26327	26349
26384	26386	26398	26461	26474	26521	26525	26551	26584	26598	26636	26654
26657	26680	26682	26716	26756	26765	26770	26805	26828	26842	26866	26917
26931	26959	26994	27051	27087	27094	27114	27143	27146	27152	27158	27163
27182	27236	27253	27255	27297	27299	27363	27379	27390	27395	27423	27465
27466	27497	27502	27506	27514	27516	27532	27539	27570	27588	27592	27607
27623	27627	27637	27683	27685	27742	27754	27758	27839	27874	27880	27930
28006	28016	28048	28087	28104	28105	28120	28128	28129	28131	28164	28169
28177	28227	28245	28258	28268	28286	28294	28324	28325	28327	28352	28361
28373	28374	28392	28411	28486	28549	28589	28602	28605	28660	28662	28668
28681	28691	28723	28745	28804	28824	28851	28853	28863	28866	28881	28914
28936	28949	29005	29038	29040	29091	29096	29137	29172	29195	29253	29271
29275	29282	29297	29399	29440	29452	29462	29475	29484	29492	29533	29633
29643	29677	29678	29697	29721	29759	29824	29847	29848	29892	29920	29948
29959	29973	29979	29999	30003	30021	30027	30165	30171	30182	30183	30195
30228	30232	30235	30237	30251	30318	30322	30380	30407	30440	30452	30454
30478	30500	30621	30641	30706	30726	30741	30802	30850	30872	30881	30991
31002	31027	31034	31075	31156	31233	31279	31288	31366	31435	31437	31502
31516	31552	31566	31583	31617	31618	31624	31648	31705	31706	31716	31735
31758	31760	31767	31776	31839	31848	31849	31876	31914	31950	31961	32023
32097	32124	32150	32205	32211	32236	32281	32316	32319	32344	32361	32387
32406	32421	32449	32476	32494	32534	32545	32572	32584	32641	32654	32663
32670	32671	32675	32725	32852	32865	32893	32929	32965	33045	33046	33055
33084	33089	33095	33155	33182	33213	33237	33251	33268	33299	33331	33354
33368	33375	33377	33396	33426	33436	33440	33507	33508	33528	33535	33584
33585	33588	33595	33621	33648	33660	33669	33704	33712	33721	33757	33779
33817	33839	33865	33873	34022	34027	34041	34056	34071	34122	34125	34162
34265	34279	34280	34426	34464	34471	34498	34519	34525	34531	34561	34573
34587	34607	34638	34676	34682	34688	34703	34759	34767	34788	34817	34847
34872	34873	34899	34900	34909	34928	34944	34993	35097	35100	35122	35142
35152	35195	35241	35265	35279	35281	35331	35335	35371	35421	35489	35494
35501	35550	35598	35626	35668	35776	35853	35918	35931	36025	36034	36044
36055	36157	36158	36180	36207	36229	36241	36259	36339	36386	36429	36436
36439	36461	36462	36464	36489	36582	36647	36664	36667	36675	36698	36718
36731	36800	36821	36875	36963	37009	37039	37067	37097	37104	37107	37109
37126	37128	37137	37145	37203	37229	37262	37288	37295	37319	37366	37407
37420	37465	37486	37496	37519	37521	37529	37575	37618	37660	37664	37685
37721	37738	37757	37822	37834	37923	37937	37960	37989	37998	38045	38058
38074	38087	38112	38124	38149	38161	38191	38317	38372	38379	38419	38441
38499	38507	38549	38589	38595	38602	38604	38613	38638	38663	38685	38686
38738	38748	38837	38838	38895	38923	38934	38958	39006	39013	39060	39063
39067	39081	39125	39153	39175	39180	39211	39264	39320	39352	39367	39443
39445	39462	39485	39565	39579	39582	39591	39600	39644	39647	39656	39728
39738	39781	39815	39825	39835	39875	39889	39895	39928	39976	40005	40011
40017	40019	40050	40122	40129	40222	40243	40259	40299	40307	40347	40457
40502	40573	40602	40679	40727	40758	40797	40818	40820	40829	40830	40860
40888	40932	41024	41028	41056	41078	41094	41095	41120	41167	41220	41228
41253	41284	41338	41356	41371	41416	41442	41470	41484	41491	41493	41524
41553	41568	41590	41638	41675	41687	41688	41692	41711	41713	41715	41722
41737	41884	41901	41947	41952	41968	42018	42118	42121	42125	42138	42166
42199	42252	42259	42260	42262	42334	42376	42402	42406	42456	42480	42484
42506	42509	42516	42544	42601	42638	42724	42727	42779	42794	42799	42831
42874	42894	42915	42947	42963	43056	43090	43098	43141	43147	43157	43173
43193	43247	43259	43413	43438	43489	43507	43516	43522	43568	43587	43590
43613	43639	43670	43700	43701	43757	43763	43810	43833	43849	43859	43898
43918	43928	43954	43965	43986	44003	44097	44105	44133	44177	44208	44215
44221	44223	44229	44316	44328	44347	44354	44398	44483	44497	44521	44554
44584	44608	44663	44678	44690	44731	44735	44779	44794	44820	44881	44883
44916	44979	44982	45037	45040	45076	45088	45143	45153	45171	45183	45208
45220	45239	45255	45268	45345	45351	45388	45414	45427	45452	45486	45529
45533	45566	45589	45592	45611	45626	45645	45663	45672	45709	45721	45730
45732	45734	45751	45792	45828	45835	45870	45932	45954	46024	46053	46080
46092	46104	46120	46145	46203	46260	46275	46326	46340	46421	46443	46450
46481	46585	46588	46593	46656	46662	46670	46674	46694	46696	46734	46753
46771	46790	46834	46848	46854	46956	46974	47001	47012	47080	47114	47124
47126	47164	47167	47169	47185	47208	47268	47275	47289	47303	47334	47335
47352	47383	47407	47433	47444	47450	47453	47455	47501	47503	47541	47550
47594	47617	47624	47661	47695	47733	47790	47820	47901	47929	47986	48034
48059	48066	48069	48090	48103	48117	48132	48165	48205	48228	48230	48256
48261	48279	48345	48398	48450	48505	48554	48568	48574	48609	48660	48726
48736	48748	48754	48755	48796	48806	48830	48858	48861	48881	48935	48969
49001	49014	49016	49048	49055	49081	49086	49102	49131	49134	49150	49158
49164	49177	49181	49197	49199	49200	49232	49270	49287	49392	49416	49417
49438	49486	49578	49634	49649	49656	49665	49684	49699	49740	49759	49767
49789	49852	49855	49862	49864	49906	49913	49980	49997	50063	50071	50082
50087	50092	50102	50131	50146	50175	50198	50199	50226	50232	50240	50242
50258	50270	50298	50313	50326	50331	50338	50339	50353	50364	50396	50401
50418	50423	50447	50500	50529	50562	50574	50580	50581	50589	50616	50622
